,Sentence,Inhibitors,Promoters
2275,"in this study, we identified selective antagonist peptides for pten by targeting its pip2, atp-type, pdz and c-terminal tail domains.",pten (inhibitor) ,
2276,"we demonstrated their binding to pten over-expressed in cos7 cells, promotion on neurite outgrowth and blockade of pten downstream signals.",pten (inhibitor) ,
2277,"thus, we developed systemically deliverable small peptides to block pten selectively, which were able to promote regrowth of injured cns axons following post-injury administration.",pten (inhibitor) ,
2278,axon growth in adult sci rodents following systemic pten peptide treatments,pten (inhibitor) ,
2279,"deletion of pten or tsc1 stimulated growth in injured rgcs and descending cst neurons by activating mtor [15, 16], a key signal to regulate protein synthesis during cell growth.",pten (inhibitor) ,
2280,"thus, pten and mtor",pten (inhibitor) ,
2281,"4), pten inhibition at different neuronal levels might contribute to the enhanced axonal growth in axotomized neurons.",pten (inhibitor) ,
2282,"in particular, both pten inhibition in the neuronal bodies of the brain and blockade of locally-enriched pten at growth cones of the spinal cord are likely to regulate axon elongation by altering the activity of the pi3k/akt/gsk3 signaling pathway [49, 50].",pten (inhibitor) ,
2283,"many groups have reported a limited degree of sprouting or regenerative growth of injured cst axons by inhibiting myelin-associated inhibitors and scar-rich proteoglycans [5, 34], applying neurotrophic factors [51], suppressing intracellular rhoa and gsk-3β signals [31, 52], transplanting grafts, or combining different strategies [53–55].",rhoa (inhibitor) ,
2284,"in contrast, the he group demonstrated greater regeneration of injured cst axons in addition to compensatory sprouting in conditional pten knockout mice [14].",pten (inhibitor) ,
2285,it is less clear how regenerating cst axons crossed scar tissues following pten deletion in conditional knockout mice [14].,pten (inhibitor) ,
2286,"by using several approaches, we have confirmed high efficiency of our sequence-targeting peptides for blocking pten signaling pathway.",pten (inhibitor) ,
2287,"paps1-4 bound to pten protein, blocked its downstream signals and promoted significant neurite extension in adult and postnatal neurons cultured on inhibitory substrates (fig.",pten (inhibitor) ,
2288,"nevertheless, the time periods for suppressing pten activity were very distinct between the two studies.",pten (inhibitor) ,
2289,began deletion of pten 4–8 weeks before injury by injecting aav-cre into the sensorimotor cortex of neonatal or 4-week old mice.,pten (inhibitor) ,
2290,our peptides selectively bind pten expressed in transfected mammalian cells and block pten activity (fig.2 and 4) due to the sequence overlap with certain domains of pten.,pten (inhibitor) ,
2291,"in contrast, the previously reported protective and beneficial effects of bpv in sci rodents [19, 20] or in a stroke model [57] might be attributed to inhibition of pten as well as other tyrosine phosphatases due to less selectivity of bpv [21].",pten (inhibitor) ,
2292,"among them, lar has been shown to mediate axonal growth as a functional receptor of scar-sourced inhibitors [33].",lar (inhibitor) ,
2293,"it is likely that sprouting, regeneration and reorganization of other descending fibers, such as rubrospinal axons, also contribute to enhanced functional recovery due to widespread expression of pten in the cns [59].",pten (inhibitor) ,
2294,and short-range axon sprouting following pten suppression.,pten (inhibitor) ,
2295,"in fact, pten deletion protected rgcs from death after axotomy [12].",pten (inhibitor) ,
2296,"moreover, pten has been shown to regulate development and proliferation of cns stem cells or progenitors [61].",pten (inhibitor) ,
2297,"of note, pten is expressed in different types of cells and regulates many fundamental cellular functions in the body, including apoptosis, migration, proliferation and growth.",pten (inhibitor) ,
2298,"dysregulation of pten has been linked to several disorders, such as tumorigenesis and epilepsy [62–64].",pten (inhibitor) ,
2299,"in particular, loss of pten function has been shown to contribute to tumor formation in prostate, skin and intestine.",pten (inhibitor) ,
2300,the risk of tumor formation may be slight when pten inhibition with pap treatment is limited to 2–3 weeks [64].,pten (inhibitor) ,
2301,"novel mechanism of pten regulation by its phosphatidylinositol 4,5-bisphosphate binding motif is critical for chemotaxis.",pten (inhibitor) ,
2302,"he x, ni y, wang y, romigh t, eng c. naturally occurring germline and tumor-associated mutations within the atp-binding motifs of pten lead to oxidative damage of dna associated with decreased nuclear p53.",pten (inhibitor) ,
2303,"lobo gp, waite ka, planchon sm, romigh t, nassif nt, eng c. germline and somatic cancer- associated mutations in the atp-binding motifs of pten influence its subcellular localization and tumor suppressive function.",pten (inhibitor) ,
2304,binding of pten to specific pdz domains contributes to pten protein stability and phosphorylation by microtubule- associated serine/threonine kinases.,pten (inhibitor) ,
2305,neuron-intrinsic inhibitors of axon regeneration: pten and socs3.,pten (inhibitor) ,
2306,delayed administration of a pten inhibitor bpv improves functional recovery after experimental stroke.,pten (inhibitor) ,
2307,negative regulation of neural stem/progenitor cell proliferation by the pten tumor suppressor gene in vivo.,pten (inhibitor) ,
2308,"backman s, stambolic v, mak t. pten function in mammalian cell size regulation.",pten (inhibitor) ,
2309,"hollander mc, blumenthal gm, dennis pa. pten loss in the continuum of common cancers, rare syndromes and mouse models.",pten (inhibitor) ,
2310,"c, high level of pten protein was detected in the bodies and neurites of cultured drgs and was colocalized with neuronal marker tuj1.",pten (inhibitor) ,
2311,paps1-4 significantly bind pten protein in transfected cos-7 cells.,pten (inhibitor) ,
2312,"a, cos-7 cells were transfected with control or pten plasmid.",pten (inhibitor) ,
2313,"c, western blot confirmed the expression of pten in transfected cos-7 cells.",pten (inhibitor) ,
2314,"d, the representative images indicated expression of pten in cos-7 cells.",pten (inhibitor) ,
2315,traumatic injury altered pten expression and increased s6 and erk activity in the lesioned spinal cord.,pten (inhibitor) ,
2316,"the levels of pten (a, d, g), p-s6(active form , b, e, h) and p-erk (active form, c, f, i) were analyzed with western blots from tissue lysates of fresh spinal cord blocks 2–6 mm rostral to lesion (a, b, c), at lesion site (2 mm rostral to and caudal to injury center, containing the lesion, d, e, f), 2–6 mm caudal to the lesion (g, h, i), or from the same level of spinal cord in no-sci controls.",pten (inhibitor) ,
2317,trauma significantly increased pten levels rostral to the lesion although there was a slight reduction at the lesion site.,pten (inhibitor) ,
2318,"during the past years, different therapies have been proposed that lead to axonal outgrowth after sci such as sm-216289, neuro- trophic factors, soluble nogo receptors, chondroitinase abcor cellular transplantation.in particular, sm-216289, a small-molecule inhibitor, showed inhibition of sema3a functions, including growth cone collapse and chemo- repulsion of neurite extension.this compound acted on sema3a by sterically inducing changes in its structure and hindering binding of nrp-1.",nogo (inhibitor) ,
2319,"interestingly, repulsive guidance molecule a (rgma) inhibits axon growth by inducing crmp-2 phosphorylation via both rock and gsk3β signaling [ however, in that study, details on which crmp-2 phosphorylation (thr514 or thr555) was assessed are lacking, and gsk3β inhibition was performed in cultured neurons using a gsk3β anti- body in the media and not a specific cell-permeable gsk3β inhibitor.",rock (inhibitor) ,
2320,"further suggesting that crmp-2 is a central target to design strategies to achieve release of myelin inhibition, overexpression of the phospho-resistant mutant t555a-crmp-2 (the rho- kinase phosphorylation site) counteracts the inhibitory ef- fect of mag on postnatal cerebellar neurons [].",mag (inhibitor) ,
2321,perspectives: neurobiology: regeneration in the nogo zone.,nogo (inhibitor) ,
2322,"alhough lngfr is related  to  ngf,  bdnf,  and  other neurotrophic factor, trks have specific binding to each nerotrophic factor, trka to ngf,  trkb  to  bdnf  and nt-4/5, and trkc to nt-3, respectively (hamp- steas, 1991; klein et al., 1991a,b; lamballe  et  al.,  1991; rodriguez-tebar et al., 1990; rodriguez-tebar et al., 1992; soppet et al., 1991).",bdnf (inhibitor) ,
2323,mahanthappa and schwarting (1993) suggested that bdnf is  the most decisive neurotrophin for increasing the matura- tion and maintenance of olfactory receptor cells.,bdnf (inhibitor) ,
2324,"(1996) revealed that bdnf  alone  was the most effective neurotrophin in promoting the dif- ferentiation of olfactory neural cells, and is more effec- tive in concert with ngf.",bdnf (inhibitor) ,
2325,"impor- tantly, bdnf cell body treatment was still effective in the chronic setting, i.e., when initiated 1 year after injury, but bdnf had no effect when applied to the chronic spinal cord injury site.",bdnf (inhibitor) ,
2326,"in the case of axotomized motoneurons, these include bdnf and its trkb receptor (piehl et al., 1994; kobayashi et al., 1996), fgf-2 and its fgfr1 receptor (grothe and un- sicker, 1992; huber et al., 1997; stilwell, 2000), and il-6 and its receptor (streit et al., 2000).",bdnf (inhibitor) ,
2327,"in addition, the receptors for gdnf (gdnfra-1 and cret), cntf (cntfra and gp130) and lif (lifrl3), nt-3 (trkc), and ifgbp6 (haas et al., 1999; hammarberg et al., 2000) are also expressed on motoneurons and display differential regulation after axotomy.",,cntf (promoter)  lif (promoter) 
2328,"similarly, we did not observe a significant increase in bdnf mrna expression in cervically axotomized rubrospinal neurons (kobayashi, 1998), in contrast to the response seen in axotomized motoneurons, and we found a decrease in trkb expression to 70% of the contralateral level within the first 7 days after injury (kobayashi et al., 1997).",bdnf (inhibitor) ,
2329,"for example, in the axotomized facial nucleus, cntf mrna and protein are expressed in perineuronal glial cells (w. tetzlaff, unpub- lished observations), and, as a possible result, axotomized facial motoneurons show the cntf downstream signal, signal transducer and activator of transcription-3 (stat- 3), translocation to the cell nuclei (haas, et al., 1999; schwaiger et al., 2000).",,cntf (promoter) 
2330,"whereas only 53% of corticospinal neurons sur- vive after such a lesion, the further denial of endogenous neurotrophic support by applying function-blocking bdnf antibodies decreased this survival to about 40% (giehl et al., 1998); conversely, the exogenous application of bdnf resulted in 100% survival of these axotomized corticospinal neurons (giehl and tetzlaff, 1996).",bdnf (inhibitor) ,
2331,"the exogenous application of bdnf or nt-4/5 to the rubrospinal cell bodies 7 days after cervical axotomy (rather than to their cut axons in the spinal cord) appeared to provide these neurons with an effective element of neurotrophic support, because it also stimulated the expression of bdnf by the injured rubro- spinal neurons (kobayashi, 1998), mimicking somewhat the expression observed in facial motoneurons after axo- tomy (kobayashi et al., 1996).",bdnf (inhibitor) ,
2332,"this represents the delivery of trophic support di- rectly to the neuronal cell body, but the provision of neurotrophic factors such as bdnf to the cut axons in the spinal cord either by direct application (infusion pump; novikova et al., 2000) or gelfoam (bregman et al., 1998) or by genetically altered cell lines (fibroblasts; liu et al., 1999) and schwann cells (menei et al., 1998) has also been shown to provide the necessary trophic support necessary to prevent rubrospinal atrophy and in some cases encour- age axonal regeneration.",bdnf (inhibitor) ,
2333,"in this study, cntf applied in gelfoam to the cervically axoto- mized rubrospinal axons 4 and 8 weeks after injury was effective in preventing retrograde cell loss and atrophy induced by a second injury, but this effect was lost when the neurotrophic factor treatment was delayed for 14 and 22 weeks after injury, suggesting that a time window exists for effective trophic intervention.",,cntf (promoter) 
2334,"by applying bdnf directly to the cell bodies, instead of to the spinal cord injury site, we found that these chronically injured neurons were indeed still responsive to such trophic support as evidenced by the reversal of their massive atrophy, the stimulation of gap-43 and ta.-1 tubulin expression, and, most impor- tantly, the promotion of axonal regeneration into pn transplants (kwon et al., 2002).",bdnf (inhibitor) ,
2335,"workers in our laboratory have also observed that injured corticospinal neurons show a similar trophic re- sponse to axotomy after application of bdnf to their cell bodies, i.e., up-regulation of gap-43 and ta.-1 tubulin.",bdnf (inhibitor) ,
2336,"interestingly, after unilaterally severing of the cor- ticospinal tract by pyramidotomy, this bdnf treatment paradigm also stimulated the sprouting of spared cortico- spinal axons within the spinal cord, which was most ap- parent by corticospinal sprouts from the intact tract grow- ing across the midline of the cervical spinal cord (khodarahmi et al., 2001).",bdnf (inhibitor) ,
2337,1999. prior exposure to neurotrophins blocks inhibition of axonal regeneration by mag and myelin via a camp-dependent mechanism.,mag (inhibitor) ,
2338,"giehl km, tetzlaff w. 1996. bdnf and nt-3, but not ngf, prevent axotomy-induced death of rat corticospinal neurons in vivo.",bdnf (inhibitor) ,
2339,"haas ca, hofmann hd, kirsch m. 1999. expression of cntf/lif- receptor components and activation of stat3 signaling in axotomized facial motoneurons: evidence for a sequential postlesional function of the cytokines.",,stat3 (promoter) 
2340,"hiebert gw, khodarahmi k, mcgraw j, steeves jd, tetzlaff w. 2002. bdnf applied to the motor cortex promotes sprouting of corticospinal fibers but not regeneration into a pn transplant.",bdnf (inhibitor) ,
2341,2001. bdnf infusion into the motor cortex promotes sprouting of intact corticospinal fibers within the cervical spinal cord.,bdnf (inhibitor) ,
2342,"kobayashi nr, bedard am, hincke mt, tetzlaff w. 1996. increased expression of bdnf and trkb mrna in rat facial motoneurons after axotomy.",bdnf (inhibitor) ,
2343,"kobayashi nr, fan dp, giehl km, bedard am, wiegand sj, tetzlaff w. 1997. bdnf and nt-4/5 prevent atrophy of rat rubrospinal neurons after cervical axotomy, stimulate gap-43 and talpha1-tubulin mrna expression, and promote axonal regeneration.",bdnf (inhibitor) ,
2344,"kobayashi nr, fan d, fernandes kjl, steeves jd, tetzlaff w. 2002. application of bdnf to the cell bodies of axotomized rubrospinal neurons stimulates gap-43 and ta.1-tubulin expression and promotes",bdnf (inhibitor) ,
2345,1999. transplants of fibroblasts genetically modified to express bdnf promote regeneration of adult rat rubrospinal axons and recovery of forelimb function.,bdnf (inhibitor) ,
2346,2001. neurotrophism without neurotro- pism: bdnf promotes survival but not growth of lesioned corticospinal neurons.,bdnf (inhibitor) ,
2347,1998. schwann cells genetically modified to secrete human bdnf pro- mote enhanced axonal regrowth across transected adult rat spinal cord.,bdnf (inhibitor) ,
2348,1995. a combination of bdnf and nt-3 promotes supraspinal axonal regener- ation into schwann cell grafts in adult rat thoracic spinal cord.,bdnf (inhibitor) ,
2349,ies   now   report   that   upregulation   of camp  is  a	harnessing pns regeneration signaling,,camp (promoter) 
2350,"some aspects of the axotomy response are lost in lif null mice and the capacity for axon growth in vitro after a preconditioning lesion was significantly reduced in a subset of lif mutant drg neurons (cafferty et al., 2001).",,lif (promoter) 
2351,"furthermore, it has been shown that sciatic re- generation is delayed in mice lacking il-6 (zhong et al., 1999) or lif (cafferty et al., 2001); however, these data are somewhat difficult to interpret because il-6 family cytokines may also affect pns development (see zhong et al., 1999 and references therein).",,lif (promoter) 
2352,"lar camp in the lesioned neurons, resulting in the transcription-	to reach final conclusions.",,camp (promoter) 
2353,"major target for il-6 and lif signaling, and activation",,lif (promoter) 
2354,"of stat3 in axotomized adult drg and motor neurons elevated camp levels enable lesioned drg central processes to	has been demonstrated (see liu and snider, 2001 and overcome inhibitory cns myelin signals, as demonstrated by qiu	references therein).",,camp (promoter)  stat3 (promoter) 
2355,this finding suggests that pns	a conditional  knockout of stat3  and found that  it  is,,stat3 (promoter) 
2356,fects of the stat3 conditional inactivation on nerve re- generation have not yet been reported.,,stat3 (promoter) 
2357,"in this ments for several trk effectors in mediating axon growth		regard, integrins are major players in the pns because of of developing  peripheral neurons in vitro (see markus		the abundance of laminin isoforms in peripheral projec- et al., 2002 and references therein).",,laminin (promoter) 
2358,"quence, it may act in a similar manner to  other known	furthermore, inhibition of rhoa has been shown to pro-",rhoa (inhibitor) ,
2359,"indeed, knowl- by camp signaling.",,camp (promoter) 
2360,"furthermore, they both show that edge in this area is limited even for developmental para- increasing camp levels is able to mimic the effect of a digms of axon growth.",,camp (promoter) 
2361,"not only will strate that a conditioning lesion induces an elevation of this knowledge reveal mechanisms underlying a major camp in drg neurons and that inhibiting pka activity    form of neural plasticity, but it may also enable us to     can  prevent  conditioning  lesion-induced  axon  growth      switch on pharmacologically an intrinsic growth state on cns myelin.",,camp (promoter) 
2362,"of intracellular camp markedly enhance the ability of retinal ganglion cells to extend axons in response to neuronal growth factors (goldberg et al., 2002a).",,camp (promoter) 
2363,"indeed, mag promotes axon growth of embry-	davies, s.j., goucher, d.r., doller, c., and silver, j.",mag (inhibitor) ,
2364,"onic drg neurons, which have higher camp levels than adult neurons (qiu et al., 2002 and references therein).",,camp (promoter) 
2365,"it is possible that camp may also initiate a transcription- dependent genetic program that affects axon growth in an inhibitory environment (qiu et al., 2002).",,camp (promoter) 
2366,the question of whether camp specifically regulates the re- sponse of regenerating neurons to environmental cues or whether it acts more as a general booster of growth remains open.,,camp (promoter) 
2367,"(2002) report that both dbcamp treatment in vivo or forskolin addition in vitro impressively increase axon growth on poly-d-lysine, ar- guing that camp enhances the intrinsic growth capacity of mature drg neurons.",,camp (promoter) 
2368,"(2002), on the other hand, find that increasing the camp level alone does not enhance axon growth on a cho cell monolayer.",,camp (promoter) 
2369,gests that elevation of camp levels does not mediate the    312–316.,,camp (promoter) 
2370,"besides these trophic factors and cell adhesion molecules, the schwann  cell  produces  molecules  of the extracellular matrix such as fibronectin, laminin j1/tenascin and merosin (laminin-2) to injured axons that attach and extend their processes (chernousov  & carey, 2000).",,laminin (promoter) 
2371,"some components of the myelin produced by oligodendrocytes, nogo and myelin associated glycoprotein (mag) are identified to inhibit axonal growth, and antibodies against these proteins resulted in axonal regrowth and functional recovery in the",nogo (inhibitor) ,
2372,"the expression of repulsive molecules  such as semaphorin-3a, tenascin and chondroitin- sulfate proteoglycans are related to their repulsive nature (mckeon et al., 1991; mcmillian et al., 1994; pasterkamp et al., 1999).",tenascin (inhibitor) ,
2373,"the importance of mag in axon–schwann cell communication was indicated by mag-deficient mice in which axonal loss and demyelination occur later in the life (carenini et al., 1997).",mag (inhibitor) ,
2374,"it is believed that mag is a modulator of axonal properties that regulate a kinase-phosphatase system within the axon, and is also related to the process of",mag (inhibitor) ,
2375,"first, it is rarely detect- able at the interface between unmyelinated  axons and schwann cells, but as myelination becomes advanced by schwann cells, mag increases and is present at the periaxonal surface (dezawa & nagano, 1996).",mag (inhibitor) ,
2376,this result suggests that an intricate temporal and spatial regulation of mag expression exists dur- ing the process of remyelination.,mag (inhibitor) ,
2377,"soon after the transplantation, bdnf (100 ng/ml), cntf (50 ng/ml) and forskolin (fsk) (5 mmol) were injected into the vitreous body.",bdnf (inhibitor) ,cntf (promoter) 
2378,"such an increase of intra- cellular camp leads to the enhancement of the responsiveness of cells to trophic factors by quickly translocating the trk receptors stored in an intracellu- lar synaptic vesicle-like organelle to the plasma membrane of the cns (meyer-franke et al., 1998).",lar (inhibitor) ,camp (promoter) 
2379,"moreover, cntf are reported to be sufficient for the axonal regrowth  of rgcs, rather than the enhancement of survival (cho et al., 1999).",,cntf (promoter) 
2380,"from this evidence, the intravitreous injection of bdnf and fsk with cntf was performed.",bdnf (inhibitor) ,cntf (promoter) 
2381,"myelination detected by the mag signal was colocalized with the gfp signal, recognized, shown as light blue color-coding in fig.",mag (inhibitor) ,
2382,"(e) mag and neurofilament staining, with ranvier’s nodes indicated by arrowheads.",mag (inhibitor) ,
2383,"brittis pa, flanagan jg (2001) nogo domains and a nogo re- ceptor: implications for axon regeneration.",nogo (inhibitor) ,
2384,"cai d, shen y, de bellard m, tang s, filbin mt (1999) prior exposure to neurotrophins blocks inhibition of axonal re- generation by mag and myelin via a camp-dependent mechanism.",mag (inhibitor) ,
2385,"deng w, obrocka m, fischer i, prockop dj (2001) in vitro differentiation of human marrow stromal cells into early pro- genitors of neural cells by conditions that increase intracellu- lar cyclic amp.",lar (inhibitor) ,
2386,(1998) depolarization and camp elevation rapidly  recruit trkb to the plasma membrane of cns neurons.,,camp (promoter) 
2387,(2001) il-6 up-regulates cntf mrna expression and enhances neurite regeneration.,,cntf (promoter) 
2388,the molecu- lar regulation of the aforementioned cellular events is incompletely under- stood (fig.,lar (inhibitor) ,
2389,"raabe eh, yoshida k, schwarting ga. 1997. differential laminin isoform ex- pression in the developing rat olfactory system.",,laminin (promoter) 
2390,"these cells are predominantly low- threshold mechanoreceptors, generally express trkb or trkc and respond to bdnf or nt-3 but not ngf [41,62].",bdnf (inhibitor) ,
2391,"this  robust axonal growth was seen in mats incubated in saline as well as those incubated in neurotrophins, although mats incubated in bdnf and nt3 did show greater axonal growth of some neural populations.",bdnf (inhibitor) ,
2392,(c) axons (red) also grew within laminin immunoreactive tubules (green) that had formed within ﬁbronectin implants.,,laminin (promoter) 
2393,"changes in immunoreactivity for the p75 receptor within ﬁbronectin mats showed a simi- lar time course to that for the axonal markers pgp 9.5 and n52, (i.e.",lar (inhibitor) ,
2394,we recently showed [25] that the number of schwann cells that pro- liferate following spinal cord damage can be increased signiﬁcantly by the application of bdnf or nt3 to the lesion site (fig.,bdnf (inhibitor) ,
2395,"the p75 receptor, which is expressed predominantly on schwann cells, is increased at the site of a spinal hemisection and further increased following treament with bdnf (12 mg/day) or",bdnf (inhibitor) ,
2396,(d) shows  the quantitative analysis conﬁrming that bdnf and nt-3 treatment approximately,bdnf (inhibitor) ,
2397,"rich, the inﬂu- ence of ﬁbronectin and laminin during schwann cell migration and peripheral nerve regeneration through silicon chambers, j. neurocytol.",,laminin (promoter) 
2398,"filbin, prior exposure to neurotrophins blocks inhibition of axonal regenera- tion by mag and myelin via a camp-dependent mechanism, neuron 22 (1999) 89–101.",mag (inhibitor) ,
2399,"on the other hand, several molecules and conditions intrinsic to the neuron	the role of myelin inhibitors has been challenged by a appear   to   be   correlated   with   axonal   growth, such  as		study in which micro-injected adult peripheral sensory growth-associated proteins (gap-43), activated cytoskelet-		neurons were capable of extending axons along myelin al  proteins  (a-  and  b-tubulin,  actin),  ca21,  camp  and		tracts  in  the  intact  adult  rat  spinal  cord  [10,33].",,camp (promoter) 
2400,"neuronal   camp   levels   are   raised  (by  neurotrophins),			marsupials have advantages for studying regeneration in axonal growth is no longer inhibited by myelin [5].",,camp (promoter) 
2401,"binding protein, syntenin, arm1, laminin receptor, smad4 our search for the molecules underlying the process of	transcription factor, protein phosphatase2a, kiaa0929, regeneration   in   developing   opossum   spinal   cord   was		atp-binding cassette, voltage dependent anion channel 1, started with pcr based subtractive hybridization, because		protein  kinase  binding  fez1,  carboxypeptidase  e, tran-",,laminin (promoter) 
2402,"strittmatter, identifi- cation of the nogo inhibitor of axon regeneration as a reticulon protein, nature 403 (2000) 439–444.",nogo (inhibitor) ,
2403,"w. tetzlaff, bdnf and nt-4 / 5 prevent atrophy of rat rubrospinal neurons after cervical axotomy, stimulate gap-43 and ta1-tubulin mrna expression, and promote axonal regeneration, j. neurosci.",bdnf (inhibitor) ,
2404,"the nogo receptor, its ligands and axonal regeneration in the spinal cord; a review",nogo (inhibitor) ,
2405,"at least three proteins present in cns myelin, nogo, mag and omgp are capable of causing growth cone collapse and inhibiting neurite outgrowth in vitro.",mag (inhibitor)  omgp (inhibitor) ,
2406,"surprisingly, nogo and omgp are also strongly expressed by many neurons (including neocortical projection cells).",nogo (inhibitor)  omgp (inhibitor) ,
2407,"nogo expression is increased by some cells at the borders of cns lesion sites and by cells in injured peripheral nerves, but nogo and cns myelin are largely absent from spinal cord injury sites, which are none the less strongly inhibitory to axonal regeneration.",nogo (inhibitor) ,
2408,"nogo is found on growing axons during development, suggesting possible functions for neuronal nogo in axon guidance.",nogo (inhibitor) ,
2409,"although nogo, mag and omgp lack sequence homologies, they all bind to the nogo receptor (ngr), a gpi-linked cell surface molecule which, in turn, binds p75 to activate rhoa.",nogo (inhibitor)  mag (inhibitor)  omgp (inhibitor) ,
2410,ngr is strongly expressed by cerebral cortical neurons but many other neurons express ngr weakly or not at all.,ngr (inhibitor) ,
2411,"some neurons, such as drg cells, respond to nogo and cns myelin in vitro although they express little or no ngr in vivo which, with other data, indicates that other receptors are available for ngr ligands.",nogo (inhibitor)  ngr (inhibitor) ,
2412,"ngr expression is unaffected by injury to the nervous system, and there is no clear correlation between ngr expression by neurons and lack of regenerative ability.",ngr (inhibitor) ,
2413,"in the injured spinal cord, interactions between ngr and its ligands are most likely to be important for limiting regeneration of corticospinal and some other descending tracts; other receptors may be more important for ascending tracts.",ngr (inhibitor) ,
2414,regeneration of corticospinal axons induced by nogo antibodies has not yet been demonstrated after complete transections or contusion injuries of the spinal cord.,nogo (inhibitor) ,
2415,"it is not clear whether antibodies against nogo act on oligodendrocytes/myelin or by binding to neuronal nogo, or whether they can stimulate regeneration of ascending axons in the spinal cord, most of which express little or no ngr.",nogo (inhibitor) ,
2416,"despite these uncertainties, however, ngr and its ligands offer important new targets for enhancing plasticity and regeneration in the nervous system.",ngr (inhibitor) ,
2417,"schwab’s group eventually succeeded in microsequencing six peptides originating from the bovine homolog of ni-250, bni220 (spillmann et al., 1998) and subsequently used this information to search databases of mammalian genes and expressed sequence tags (ests), in order to identify a full-length mammalian form of the gene, incorporating all six homologous peptide sequences, which was termed nogo (chen et al., 2000).",nogo (inhibitor) ,
2418,"at the same time, the nogo gene was independently identified by two other groups (grandpre et al., 2000; prinjha et al., 2000).",nogo (inhibitor) ,
2419,"recently, a leucine-rich, gpi-linked cell surface protein of 473 amino acids has been identified as a putative nogo re- ceptor (ngr) (fournier et al., 2001).",nogo (inhibitor) ,
2420,"this molecule binds nogo with high affinity and its expression has been shown to be sufficient to confer sensitivity to nogo on otherwise insensitive cells (fournier et al., 2001).",nogo (inhibitor) ,
2421,"this review will describe the inhibitors of axonal growth that have been found in cns myelin, highlight the unexpected expression of two such molecules by most neurons and discuss whether the nogo receptor and its ligands can explain the failure of axonal regen- eration in the injured mammalian cns.",nogo (inhibitor) ,
2422,the nogo gene,nogo (inhibitor) ,
2423,"the human nogo gene was originally localised to chro- mosome 2p13-14 by radiation hybrid mapping (yang et al., 2000), though there is also some evidence to sug- gest that its locus may actually be 2p16.3-2p16.1.",nogo (inhibitor) ,
2424,"the 5t stippled segment (exon 1) is shared by nogo-a and -b. the white segments (corresponding to exons 3 and 4 of the nogo gene) are specific to nogo-a, but are also present in some minor nogo tran- scripts (refer to table 1).",nogo (inhibitor) ,
2425,"in cells expressing nogo-a, expres- sion of nogo-b can only be definitively confirmed by relative quantitation of the number of transcripts incorporating exon 1 versus transcripts incorporating exons 3 and 4. by subtractive analysis, one can technically confirm the presence of nogo-b; that is, of course, assuming that transcripts of other minor nogo isoforms incorporating exons 3 and 4 (refer to table 1) do indeed exist at very low copy number.",nogo (inhibitor) ,
2426,"2. the gene structure of human nogo (a), omgp (b), mag (c) and ngr (d), respectively.",nogo (inhibitor)  ngr (inhibitor)  mag (inhibitor)  omgp (inhibitor) ,
2427,"the nogo gene structure, using crude genomic mapping of the cdna of nogo isoforms, we originally reported that the human nogo gene comprises at least 11 exons.",nogo (inhibitor) ,
2428,"however, a very recent detailed analysis of human and mouse nogo gene structure (oertle et al., 2003), in which 5t capsite race pcr was undertaken to identify tran- scription start sites, reveals that the human gene is com- posed of 14 exons whereas the mouse gene is only com- posed of 11. the additional human exons are redun- dant since they are spliced into mature mrna tran- scripts to encode 5t untranslated region (utr); all of the",nogo (inhibitor) ,
2429,"of the seven different proteins that are believed to arise from the nogo gene (hunt et al., 2002), only three of these - termed nogo-a, -b and -c, respectively—have been considered major isoforms expressed in the adult nervous system.",nogo (inhibitor) ,
2430,"table 1. transcripts from the nogo (rtn4) gene- more than nogo-a,b and c (modified, with permission, from hunt et al., 2002).",nogo (inhibitor) ,
2431,"the human nogo gene consists of 14 exons and 8 introns, and gives rise to 12 mrna isoforms which are translated into 7 different proteins.",nogo (inhibitor) ,
2432,"it originally appeared that there were 11  exons within   the human nogo gene (hunt et al., 2002) but recently it has been reported that there are 14 (oertle et al., 2003).",nogo (inhibitor) ,
2433,the mouse nogo gene contains only 11 exons.,nogo (inhibitor) ,
2434,"the table shows the seven isoforms of nogo transcript that have been registered in genbank, each of which encodes a different protein with a correctly aligned open reading frame.",nogo (inhibitor) ,
2435,"the numbers given beneath the exonic sequences correspond to their position within the human nogo gene (ay102285), registered in",nogo (inhibitor) ,
2436,(2003) probably explains why they did not detect some nogo mrna isoforms,nogo (inhibitor) ,
2437,the human nogo gene has two major promoters; p1 gives rise to transcription starting at 1a; p2 gives rise to transcription starting at 1c.,nogo (inhibitor) ,
2438,it has been suggested that 4 minor promoters also exist within the nogo gene (p3-6).,nogo (inhibitor) ,
2439,table 2. the reported expression of ngr and its ligands.,ngr (inhibitor) ,
2440,the regional expression of ngr and some of its ligands in the adult rodent nervous system.,ngr (inhibitor) ,
2441,"to date, only one study has attempted to examine nogo c mrna expression in situ (huber et al., 2002) but this gave somewhat unconvincing results (in that signals were very weak or absent in regions in which they would have been expected to be high, as indicated by northern blot analysis).",nogo (inhibitor) ,
2442,"a conserved 3t sequence, (exons 6–11) is present in all forms of nogo  tran-  script and gives rise to the reticulon-type amino acid sequence.",nogo (inhibitor) ,
