,Molecule Name,% Inhibitor,% Promoter,% Neither,Total Sentences Found
cralbp,"cralbp,cellular retinaldehyde-binding protein",0.49899045945494436,0.4999686279334128,0.0010409164315205999,2
cspgs,"cspgs,chon- droitin sulfate proteoglycans,chondroitin sulfate proteoglycans,chondroitin sulfate proteoglycans,chondroitin-sulfated proteoglycans,chondroitin sulfate proteoglycans",0.6203347637984509,0.25211772048985714,0.12754751557153404,266
pbr,"pbr,peripheral benzodiazepine receptor",0.7995322278425605,0.1803938793679911,0.020073886879386424,11
rhogdi,"rhogdi,rho gdp-dissociation inhibitor",0.9977282683054606,0.0010306520416634157,0.001241065586024585,3
sfk,"sfk,src family kinase",0.5491479480042472,0.34987223238204024,0.1009798320947084,32
aqp4,"aqp4,aquaporin 4",0.6742252606366362,0.01477768188799798,0.3109970366016829,7
tnfbp,"tnfbp,tnf binding protein",0.9883022904396057,0.0008697246084921062,0.010828052647411823,1
tbst,"tbst,tris-buffered saline containing 0.1% tween-20",0.13402488773239643,0.5141496784718973,0.35182543391627924,7
rtks,"rtks,receptor tyrosine kinases",0.9984752535820007,0.0011494384380057454,0.0003752802440430969,1
gap,"gap,growth­ associated protein""",0.11396193281519709,0.10362044328417613,0.7824176235955007,337
ii,"ii,intrinsic neuronal factors;",0.22442106291973946,0.1254099479716041,0.6501689810991853,525
mf,"mf,matrix factor",0.19972175919174334,0.0065697066253051165,0.793708502384834,5
mscs,"mscs,mal stem cells [52]",0.26265645906033797,0.37555713990453415,0.36178640584895067,192
npy,"npy,neuropeptide y",0.590075948512614,0.33743403761868,0.07249000038011998,14
phb,"phb,poly-beta-hydroxybutyrate",0.10527998208999634,0.25339895486831665,0.641321063041687,1
ptpσ,"ptpσ,protein tyrosine phosphatase σ,protein tyrosine phosphatase σ",0.7716588769924841,0.10177314496209991,0.12656796646080049,62
apkc,"apkc,atypical protein kinase c",0.17939364318735898,0.5850750334560871,0.2355313296429813,5
ngr1,"ngr1,nogo-66 receptor 1,nogo receptor 1",0.821050371436487,0.038467030733845775,0.1404825996548094,217
mbp,"mbp,myelin basic protein,myelin basic protein,anti-myelin basic protein,myelin basic protein,myelin basic protein",0.7248875336726196,0.16778815534093883,0.10732431329332758,125
fitc,"fitc,cd44-fluorescein isothiocyanate,ctb-fluores- cein isothiocyanate",0.22328752104658633,0.6175763817795087,0.159136094909627,10
crem,"crem,camp-responsive element modulator",0.06324861943721771,0.9245811104774475,0.012170218862593174,1
fig,"fig,fgf-2 bind fgfr-1",0.23233970211581365,0.14325817913621514,0.6244021129975972,63
id2,"id2,inhibitor of dna binding 2",0.6381995593758554,0.22435120155833746,0.1374492378646127,22
cont,"cont,complete optic nerve transection",0.013559218059526756,0.15969397767912596,0.8267468134025958,11
gtp,"gtp,guanosine triphosphate",0.9113955249389013,0.011198771200724877,0.0774057064797186,6
islet,"islet,islet-1/-2",0.5004577061918098,0.23898807495788787,0.26055425943923183,4
grgds,"grgds,glycine-arginine-glycine-aspartic acid-serine",0.36928195856307866,0.08041636110283434,0.5503016859292984,2
plp,"plp,pro­ teolipid protein,proteolipid protein",0.7284408347318984,0.19023147095948742,0.08132769000367261,45
amp,"amp,adenosine monophosphate",0.3160303534952274,0.5042379006276984,0.17973174565299446,74
dha,"dha,docosahexaenoic acid,docosahexaenoic acid",0.25741142564220354,0.5019486016826704,0.24064000404905528,4
lar,"lar,iia/leukocyte common antigen-related,leukocyte common antigen related phosphatase,leukocyte common antigen-related,leukocyte common antigen receptor",0.5975362583837469,0.09497817813213152,0.3074855590021959,340
hdac5,"hdac5,his- tone deacetylase 5",0.2689005780425346,0.6311865365556018,0.09991289819696579,11
nrdg1,"nrdg1,n-myc downstream-regulated gene-1",0.9906764030456543,0.0002836241910699755,0.009039875119924545,1
biop4,"biop4,biopap4",0.9993913173675537,0.0002527836477383971,0.0003558438620530069,1
pdgf,"pdgf,platelet-derived growth factor,platelet-derived growth factor,platelet derived growth factor",0.18732715164097485,0.6211400850990656,0.1915327587770155,61
nmda,"nmda,n-methyl-d-aspartate,n-methyl-d-aspartate,n-methyl d-aspartate,n-methyl-d- aspartate",0.6890865871977734,0.23196886269953038,0.07894455048429065,74
tnf,"tnf,tumor necrosis factor",0.5564870279486058,0.18364246213033247,0.2598705095900056,28
sema,"sema,semaphorin",0.7475107382735586,0.06731993102584966,0.18516932671482209,10
klf2,"klf2,kruppel-like factor 2,kruppel-like factor 2",0.002003816654905677,0.9960236549377441,0.0019724916201084852,2
mrf,"mrf,myelin gene regulatory factor",0.1520828753709793,0.004849791992455721,0.8430673480033875,1
nfat,"nfat,nuclear factor of activated t-cells",0.9122874975204468,0.07936657784448471,0.008345942245796323,5
rmg,"rmg,retinal müller glia",0.0008845156407915056,0.0005049803876318038,0.9986104965209961,1
at2,"at2,angiotensin ii type 2",0.5892632025576555,0.1600410178114594,0.2506957860543682,144
sm,"sm,sphingomyelin",0.5073248654472536,0.09971099319677705,0.392964136511182,80
pga,"pga,poly(glycolic acid)",0.13046493292495143,0.4194822981666625,0.4500527761410922,9
mda,"mda,malondialdehyde",0.22825251817703246,0.47170446708332747,0.30004304453614167,5
dex,"dex,dexamethasone",0.0002784197422442958,0.0011870116170030088,0.9985345721244812,5
ankrd1,"ankrd1,ankyrin repeat domain 1",0.9988386034965515,0.00041511200834065676,0.0007462837384082377,1
xbp1,"xbp1,x-box binding protein 1",0.6857095329484356,0.17407765087811075,0.14021281305256958,29
ang2,"ang2,angiopoietin 2",0.5110023348437002,0.315891305303214,0.17310635937934016,9
tianjin,"tianjin,tianjin",0.0005600579364302879,0.054103669693176926,0.9453362425168356,12
igf,"igf,igf-1,insulin-derived growth factors",0.40098238883850473,0.25206837244331837,0.3469492228080829,3
nc,"nc,nitrocellulose",0.44588843380552134,0.1548403436580494,0.3992712405992539,14
tfr,"tfr,transferrin receptor",0.2549397825831485,0.19676131940018204,0.5482988880939956,42
sac,"sac,soluble adenylyl cyclase",0.2002480579576028,0.20598169155593496,0.593770249629888,150
magr,"magr,mag receptor",0.7576541285961866,0.0006005363538861275,0.24174534078520082,4
spion,"spion,superparamagnetic iron oxide",0.07963403456624991,0.31167867999129856,0.6086873111444919,13
rhamm,"rhamm,receptor for ha-mediated mobility",0.7099391222000122,0.2889345586299896,0.0011262886691838503,1
prb1,"prb1,pressors, such as the retinoblastoma-like 1",0.9988038539886475,0.0009771862532943487,0.00021900991850998253,1
ace,"ace,angiotensin converting enzyme",0.5999193368843407,0.009995892064762302,0.3900847601587884,5
fsk,"fsk,forskolin",0.00048368853167630733,0.9970696210861206,0.0024466867616865784,5
te,"te,tellurium",0.16610665124622756,0.04358148125567823,0.790311873309256,50
plg,"plg,poly(lactide-co-glycolide),poly(lactide-co-glycolide)",0.1508750207083267,0.4574542989762449,0.391670677530783,16
csl,"csl,cbf1/su(h)/lag1",0.3354446310378775,0.11782911803439834,0.5467262514156412,17
s1p,"s1p,sphingosine-1-phosphate",0.9994006156921387,0.000101857163826935,0.0004975719493813813,1
ccc,"ccc,cation-chloride-cotransporters",0.4802596971858293,0.3960788568598218,0.12366149595472961,5
drgs,"drgs,drgs per sample, 3 mice",0.504366173568373,0.25139803416514905,0.24423579307130283,105
